Product ID,Model Type,Size Type,Image URL,Product URL
adidas-marquee-boost-mid-marvel-thor,Basketball,Men,"https://stockx.imgix.net/adidas-Marquee-Boost-Mid-Marvel-Thor-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1557950286",https://stockx.com/adidas-marquee-boost-mid-marvel-thor
adidas-harden-vol-2-concrete,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Vol-2-Concrete.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-harden-vol-2-concrete
adidas-dame-5-black-red-purple,Basketball,Men,"https://stockx.imgix.net/adidas-Dame-5-Black-Red-Purple.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1560223952",https://stockx.com/adidas-dame-5-black-red-purple
adidas-james-harden-volume-1-pioneer,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Volume-1-Pioneer.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-james-harden-volume-1-pioneer
adidas-crazy-8-adv-sesame,Basketball,Men,"https://stockx.imgix.net/Adidas-Crazy-8-Adv-Sesame.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-crazy-8-adv-sesame
adidas-d-lillard-three-roots,Basketball,Men,"https://stockx.imgix.net/Adidas-D-Lillard-Three-Roots-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1598377218",https://stockx.com/adidas-d-lillard-three-roots
adidas-sm-dame-4-nba-onix,Basketball,Men,"https://stockx.imgix.net/adidas-SM-Dame-4-NBA-Onix.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1574022535",https://stockx.com/adidas-sm-dame-4-nba-onix
adidas-don-issue-1-mailman-karl-malone,Basketball,Men,"https://stockx.imgix.net/adidas-DON-Issue-1-Mailman-Karl-Malone-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1576006585",https://stockx.com/adidas-don-issue-1-mailman-karl-malone
adidas-harden-vol-3-legend-ink-power-red,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-3-Legend-Ink-Power-Red-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1561401565",https://stockx.com/adidas-harden-vol-3-legend-ink-power-red
adidas-harden-vol-3-black-white,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-3-Black-White-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1543951895",https://stockx.com/adidas-harden-vol-3-black-white
adidas-dame-4-a-bathing-ape-camo,Basketball,Men,"https://stockx.imgix.net/Adidas-Dame-4-A-Bathing-Ape-Camo-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-dame-4-a-bathing-ape-camo
adidas-harden-vol-2-maroon,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Vol-2-Maroon-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1571516796",https://stockx.com/adidas-harden-vol-2-maroon
adidas-harden-volume-1-home,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Volume-1-Home-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1574449122",https://stockx.com/adidas-harden-volume-1-home
adidas-t-mac-1-black-royal-2019,Basketball,Men,"https://stockx.imgix.net/adidas-T-Mac-1-Black-Royal-2019-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1558407310",https://stockx.com/adidas-t-mac-1-black-royal-2019
adidas-n3xt-l3v3l-marvel-captain-america,Basketball,Men,"https://stockx.imgix.net/adidas-N3xt-L3v3l-Marvel-Captain-America-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1557950361",https://stockx.com/adidas-n3xt-l3v3l-marvel-captain-america
adidas-n3xt-l3v3l-core-black-cloud-white,Basketball,Men,"https://stockx.imgix.net/adidas-N3xt-L3v3l-Core-Black-Cloud-White-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1557950300",https://stockx.com/adidas-n3xt-l3v3l-core-black-cloud-white
adidas-harden-vol-2-ls-buckle-black-white,Basketball,Men,"https://stockx.imgix.net/adidas-Harden-Vol-2-LS-Buckle-Black-White-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1585776416",https://stockx.com/adidas-harden-vol-2-ls-buckle-black-white
adidas-marquee-boost-white-grey,Basketball,Men,"https://stockx.imgix.net/adidas-Marquee-Boost-White-Grey-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1569007423",https://stockx.com/adidas-marquee-boost-white-grey
adidas-dame-5-collegiate-purple,Basketball,Men,"https://stockx.imgix.net/adidas-Dame-5-Collegiate-Purple-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1569617843",https://stockx.com/adidas-dame-5-collegiate-purple
adidas-harden-vol-2-trace-cargo,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Vol-2-Trace-Cargo.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1538080256",https://stockx.com/adidas-harden-vol-2-trace-cargo
adidas-n3xt-l3v3l-off-white-gum,Basketball,Men,"https://stockx.imgix.net/adidas-N3xt-L3v3l-Off-White-Gum.png?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1550626373",https://stockx.com/adidas-n3xt-l3v3l-off-white-gum
adidas-t-mac-millennium-black-gold,Basketball,Men,"https://stockx.imgix.net/adidas-T-Mac-Millennium-Black-Gold-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1580325806",https://stockx.com/adidas-t-mac-millennium-black-gold
adidas-harden-vol-2-all-star-2018,Basketball,Men,"https://stockx.imgix.net/Adidas-Harden-Vol-2-All-Star-2018-Product.jpg?fit=fill&bg=FFFFFF&w=300&h=214&auto=format,compress&trim=color&q=90&dpr=2&updated_at=1543951836",https://stockx.com/adidas-harden-vol-2-all-star-2018
