id,brand,model,product_name,condition,last_sale,last_sale_size,lowest_ask,highest_bid,since_last_sale_dollar,since_last_sale_percent,colorway,retail_price,release_date,high_52_week,low_52_week,low_12_month_trade,high_12_month_trade,volatility,num_sales_12_month,price_premium_12_month,avg_sale_price_12_month,period
adidas-campus-wingshorns-sesame,adidas,campus,adidas campus wings+horns sesame,New,7400.0,8,8000.0,4600.0,-500.0,-7.0,,16752.0,2017-10-26,8500.0,5300.0,6300.0,8600.0,16.3,4.0,-56.3,7300.0,1088.0
adidas-lite-racer-adapt-grey-six-gold,adidas,lite,adidas lite racer adapt grey six gold,New,5300.0,11,6400.0,5400.0,600.0,11.0,Grey Six / Core Black / Matte Gold,6805.5,,6400.0,4800.0,4800.0,6000.0,11.3,7.0,-22.6,5800.0,
adidas-speedfactory-am4-am4atl-atlanta,adidas,speedfactory,adidas speedfactory am4 am4atl atlanta,New,10600.0,8,12200.0,8400.0,-5400.0,-34.0,Cloud White/Silver Metallic/Core Black,20940.0,2019-01-28,16800.0,7400.0,8000.0,13200.0,25.4,17.0,-50.0,11100.0,629.0
adidas-ozweego-core-black,adidas,ozweego,adidas ozweego core black,New,10600.0,6.5,10500.0,11000.0,-1200.0,-11.0,Core Black/Core Black/Grey,11517.0,2019-08-08,22700.0,5300.0,9300.0,11900.0,11.5,464.0,-9.1,10300.0,437.0
adidas-eqt-support-93-17-core-black-turbo,adidas,eqt,adidas eqt support 93/17 core black turbo,New,15100.0,10,19400.0,15800.0,-3000.0,-17.0,,18846.0,2017-01-26,26400.0,6400.0,10900.0,19300.0,28.2,56.0,-20.6,16700.0,1361.0
adidas-eqt-support-adv-adventure-winter-grey-two,adidas,eqt,adidas eqt support adv adventure winter grey two,New,8500.0,8,7100.0,4200.0,-4700.0,-36.0,,17799.0,2017-10-27,13200.0,5200.0,5700.0,11200.0,33.1,6.0,-52.9,8600.0,1087.0
adidas-nmd-r1-black-metallic-boost,adidas,nmd,adidas nmd r1 goodbye gravity black,New,8800.0,9.5,7200.0,13100.0,2200.0,32.0,Core Black/Core Black/Carbon,13611.0,2019-12-20,32300.0,5800.0,7700.0,9900.0,11.9,1321.0,-36.2,8600.0,303.0
adidas-nmd-r1-camo-savanna-brown,adidas,nmd,adidas nmd r1 camo savanna brown,New,13200.0,9.5,11600.0,10600.0,800.0,6.0,Savanna/Brown/Savanna,14658.0,2020-08-07,21100.0,8500.0,12500.0,14000.0,5.2,25.0,-10.7,14700.0,72.0
adidas-ultra-boost-3pt0-oreo,adidas,ultra,adidas ultra boost 3.0 oreo,New,31900.0,10.0,25200.0,27400.0,12400.0,63.0,,18846.0,2017-02-01,40100.0,12700.0,25100.0,38600.0,21.2,172.0,67.8,26500.0,1355.0
adidas-ado-ultra-boost-clear-brown,adidas,ado,adidas ado ultra boost day one clear brown,New,19400.0,10.5,17200.0,18900.0,1000.0,5.0,,18846.0,2017-05-11,20600.0,10600.0,17200.0,21700.0,11.6,22.0,2.2,15800.0,1256.0
adidas-y-3-reberu-black-white,adidas,y-3,adidas y-3 reberu black white,New,17800.0,10.5,18500.0,10500.0,7200.0,68.0,Core Black/Core Black/Footwear White,41880.0,2019-01-01,17800.0,9100.0,14000.0,21600.0,21.3,3.0,-58.0,12500.0,656.0
adidas-nmd-r2-collegiate-burgundy,adidas,nmd,adidas nmd r2 collegiate burgundy,New,10600.0,12,8500.0,5100.0,3200.0,43.0,Collegiate Burgundy/Maroon/Chalk Coral,13611.0,2018-01-01,10600.0,2900.0,9000.0,12200.0,14.7,30.0,-23.1,6400.0,1021.0
adidas-ultra-boost-uncaged-khaki-brown,adidas,ultra,adidas ultra boost uncaged khaki brown,New,14600.0,11.5,12700.0,10000.0,-1800.0,-11.0,,18846.0,2017-04-07,21400.0,7200.0,10400.0,18700.0,28.4,16.0,-23.6,13200.0,1290.0
adidas-nite-jogger-3m-cloud-white,adidas,nite,adidas nite jogger 3m cloud white,New,9000.0,10.5,7300.0,10500.0,700.0,8.0,Cloud White/Cloud White/Cloud White,13611.0,2019-10-03,13200.0,3200.0,7100.0,10900.0,20.7,72.0,-34.6,7700.0,381.0
